measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Virginia,Both,All ages,Liver cancer due to alcohol use,Number,1992,46.19572880535527,52.314433841022115,39.91790891330798
Deaths,Oklahoma,Both,All ages,Liver cancer due to alcohol use,Number,1990,16.73431094593611,19.24744287446079,14.267268664623083
Deaths,Oklahoma,Both,All ages,Alcohol use disorders,Number,1990,81.25387498846167,87.67095340673853,74.79672718558871
Deaths,Alaska,Both,All ages,Liver cancer due to alcohol use,Number,1991,2.8400438768364054,3.2909994181469515,2.419486423394457
Deaths,Vermont,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,19.868491661443425,22.77229452430635,17.449758464249964
Deaths,Iowa,Both,All ages,Liver cancer due to alcohol use,Number,1992,23.52165006479403,26.531580059401417,20.51436572024608
Deaths,Iowa,Both,All ages,Alcohol use disorders,Number,1992,50.835609681860106,55.07958610418123,46.83644466983744
Deaths,Wisconsin,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,158.10471288333343,179.0041873782384,137.295938134769
Deaths,Oklahoma,Both,All ages,Alcohol use disorders,Number,1991,81.36718999743401,87.4338120455014,75.64679431517362
Deaths,Indiana,Both,All ages,Alcohol use disorders,Number,1992,125.18538350021468,133.88618969025038,117.02627090946692
Deaths,Maryland,Both,All ages,Liver cancer due to alcohol use,Number,1990,36.401659362295746,41.43876407245297,31.496961376265
Deaths,Maryland,Both,All ages,Alcohol use disorders,Number,1990,115.11843331204841,122.45851813315649,107.49031289781443
Deaths,Indiana,Both,All ages,Alcoholic cardiomyopathy,Number,1992,150.41592781397242,184.6128105750682,105.64536561746887
Deaths,New Hampshire,Both,All ages,Alcoholic cardiomyopathy,Number,1992,20.91536309883436,24.918141562413545,16.007500881035376
Deaths,Florida,Both,All ages,Alcohol use disorders,Number,1993,466.6869367659228,489.584054494621,443.3615484837515
Deaths,North Carolina,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,271.8086712454638,310.2651165711761,238.40455769639365
Deaths,Massachusetts,Both,All ages,Liver cancer due to alcohol use,Number,1990,55.9797401738918,63.41282249342901,48.68036913152848
Deaths,West Virginia,Both,All ages,Liver cancer due to alcohol use,Number,1992,12.12902903906101,13.924200063871771,10.280392565469057
